0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
XMLITEM_CATNO,XMLITEM_CATNAME,XMLITEM_SEQNO,XMLITEM_CASE01,XMLITEM_CASE02,XMLITEM_CASE03,XMLITEM_CASE04,XMLITEM_CASE05,XMLITEM_CASE06,XMLITEM_CASE07,XMLITEM_CASE08,XMLITEM_CASE09,XMLITEM_CASE10,XMLITEM_CASE11,XMLITEM_CASE12,XMLITEM_17CODE,XMLITEM_NAME,XMLITEM_FORMAT,XMLITEM_TYPE,XMLITEM_UNITNAME,XMLITEM_UNIT,XMLITEM_OBS,XMLITEM_AUTHORITEM,XMLITEM_BAT,XMLITEM_BATREL,XMLITEM_DEPEND,XMLITEM_METHOD,XMLITEM_METHODNAME,XMLITEM_NOTE,XMLITEM_CODEOID,XMLITEM_ITEMOID,XMLITEM_ABNORMAL,XMLITEM_ABFLAG
区分番号,区分名称,出力順,特定健診（１：必須、２：詳細、３：ファイル出力不要だが結果印刷、４：同一項目から1項目、５，６，７あれば出力）,広域連合,事業者健診,学校健診,生活機能評価,各種がん,条件コード７,条件コード８,肝炎健診,その他健診,条件コード１１,条件コード１２,ＸＭＬ用項目コード17桁,ＸＭＬ表示名,フォーマット情報,XMLデータ型,表示単位,UCUM単位コード,observation要素,author要素で表現される項目コード,一連検査グループ識別,一連検査グループ関係コード,依存対象項目,XML検査方法コード,検査方法,備考,結果コードOID,項目コードOID,異常ありの値,異常ありの値条件
10,身体計測,A0000010,1,1,1,1,1,0,0,0,0,0,0,0,9N001000000000001,身長,NNN.N,PQ,cm,cm,1,,,,,,,小数点以下1桁,,1.2.392.200119.6.1005,,
10,身体計測,A0000020,1,1,1,1,1,0,0,0,0,0,0,0,9N006000000000001,体重,NNN.N,PQ,kg,kg,1,,,,,,,小数点以下1桁,,1.2.392.200119.6.1005,,
10,身体計測,A0000030,1,1,1,1,1,0,0,0,0,0,0,0,9N011000000000001,BMI,NN.N,PQ,kg/m2,kg/m2,1,,,,,,,小数点以下1桁,,1.2.392.200119.6.1005,,
10,身体計測,A0000040,A,0,0,0,0,0,0,0,0,0,0,0,9N021000000000001,内臓脂肪面積,NNN.N,PQ,cm2,cm2,1,,,,,,,小数点以下1桁,,1.2.392.200119.6.1005,,
10,身体計測,A0000050,A,0,A,A,0,0,0,0,0,0,0,0,9N016160100000001,腹囲(実測）,NNN.N,PQ,cm,cm,1,,,,,9N01610000,１：実測,小数点以下1桁,,1.2.392.200119.6.1005,,
10,身体計測,A0000060,A,0,A,A,0,0,0,0,0,0,0,0,9N016160200000001,腹囲(自己判定）,NNN.N,PQ,cm,cm,1,,,,,9N01620000,２：自己測定,小数点以下1桁,,1.2.392.200119.6.1005,,
10,身体計測,A0000070,A,0,A,A,0,0,0,0,0,0,0,0,9N016160300000001,腹囲(自己申告）,NNN.N,PQ,cm,cm,1,,,,,9N01630000,３：自己申告,小数点以下1桁,,1.2.392.200119.6.1005,,
10,身体計測,A0000080,0,0,0,0,0,0,0,0,0,0,0,0,9N026000000000002,肥満度,NNN.N,PQ,%,%,1,,,,,,,,,1.2.392.200119.6.1005,,
20,診察,A0000090,0,0,1,0,0,6,0,0,0,0,0,0,9N051000000000049,業務歴,256,ST,,,1,,,,,,,,,1.2.392.200119.6.1005,,
